log_timestamp_verbose,log_timestamp_posix,timestamp_verbose,timestamp_posix,interval_sec,msg_source,msg_type,msg_count,msg_served,msg_rejected
2021-01-01 02:23:43.601115,1609467823.6010795,2021-01-01 02:23:43.598,1609467823.59845,300.0,daisy-anthem,SRM,0,0,0
2021-01-01 02:26:34.007665,1609467994.007633,2021-01-01 02:26:34.6,1609467994.006845,300.0,daisy-anthem,RemoteBSM,0,NA,NA
2021-01-01 02:26:34.063888,1609467994.0638535,2021-01-01 02:26:34.62,1609467994.06281,300.0,daisy-anthem,SSM,0,NA,NA
2021-01-01 02:26:34.064340,1609467994.0643144,2021-01-01 02:26:34.63,1609467994.063683,300.0,daisy-anthem,MAP,300,NA,NA
2021-01-01 02:26:34.064814,1609467994.0647888,2021-01-01 02:26:34.64,1609467994.064173,300.0,daisy-anthem,SPaT,3001,NA,NA
2021-01-01 02:28:43.119035,1609468123.1190026,2021-01-01 02:28:43.118,1609468123.118338,300.0,daisy-anthem,SRM,0,0,0
2021-01-01 02:31:34.006819,1609468294.0067825,2021-01-01 02:31:34.5,1609468294.005955,300.0,daisy-anthem,RemoteBSM,0,NA,NA
2021-01-01 02:31:34.092622,1609468294.0925786,2021-01-01 02:31:34.91,1609468294.091689,300.0,daisy-anthem,SSM,0,NA,NA
2021-01-01 02:31:34.093178,1609468294.093148,2021-01-01 02:31:34.92,1609468294.092376,300.0,daisy-anthem,MAP,300,NA,NA
2021-01-01 02:31:34.093789,1609468294.0937507,2021-01-01 02:31:34.93,1609468294.093015,300.0,daisy-anthem,SPaT,3001,NA,NA
2021-01-01 02:33:43.679426,1609468423.6793828,2021-01-01 02:33:43.678,1609468423.678606,300.0,daisy-anthem,SRM,0,0,0
2021-01-01 02:36:34.007555,1609468594.0075166,2021-01-01 02:36:34.6,1609468594.006464,300.0,daisy-anthem,RemoteBSM,0,NA,NA
2021-01-01 02:36:34.039776,1609468594.0397246,2021-01-01 02:36:34.38,1609468594.038823,300.0,daisy-anthem,SSM,0,NA,NA
2021-01-01 02:36:34.041043,1609468594.041012,2021-01-01 02:36:34.40,1609468594.040257,300.0,daisy-anthem,MAP,300,NA,NA
2021-01-01 02:36:34.042168,1609468594.0421367,2021-01-01 02:36:34.41,1609468594.041444,300.0,daisy-anthem,SPaT,3000,NA,NA
2021-01-01 02:38:43.200553,1609468723.2004757,2021-01-01 02:38:43.198,1609468723.198643,300.0,daisy-anthem,SRM,0,0,0
2021-01-01 02:41:34.035987,1609468894.0359483,2021-01-01 02:41:34.35,1609468894.03502,300.0,daisy-anthem,RemoteBSM,0,NA,NA
2021-01-01 02:41:34.173519,1609468894.1734715,2021-01-01 02:41:34.172,1609468894.172532,300.0,daisy-anthem,SSM,0,NA,NA
2021-01-01 02:41:34.174157,1609468894.1741242,2021-01-01 02:41:34.173,1609468894.173219,300.0,daisy-anthem,MAP,301,NA,NA
2021-01-01 02:41:34.174669,1609468894.1746385,2021-01-01 02:41:34.173,1609468894.173908,300.0,daisy-anthem,SPaT,3001,NA,NA
2021-01-01 02:43:43.759066,1609469023.7590292,2021-01-01 02:43:43.758,1609469023.758309,300.0,daisy-anthem,SRM,0,0,0
